"First","Second","Third","Class","Age","AvgSleepTime","LastNightSleep","HoursAwake","Fatigue","Stress","Distraction","NoiseLevel","Temperature","VideoGamePlay","SportsPlay","ShootingGames","AvgHoursExercise","Gamer","CaffeineIntake","AlcoholIntake","VisualAcuity","PrimarilyHand","UsePrimaryHand","Cautious","InputDevice","RefreshRate","DeviceOS","WiFi"
610,625,596,"Junior",22,8,7,3,"Slightly Fatigued","High","No",3,"Neutral","Never","Rarely","Beginner",3,"No","Yes","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-macOS","Stable"
609,670,564,"Junior",21,5,6,13,"Moderately fatigued","High","No",4,"Very Warm","Rarely","Rarely","Beginner",8,"Yes","No","No","Excellent","Right hand","Yes","Slightly cautious","Trackpad","Standard","Laptop-macOS","Stable"
605,546,590,"Sophomore",20,9,6,6,"Very fatigued","Moderate","No",4,"Warm","Several times a month","Several times a month","None",2,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Keyboard","Standard","Laptop-macOS","Stable"
452,481,476,"Sophomore",19,8,9,5,"Not fatigued at all","Low","No",4,"Neutral","Several times a week","Once a week","None",5,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
723,740,694,"Junior",20,7,6.5,4,"Moderately fatigued","Moderate","Yes",4,"Neutral","Rarely","Never","None",3,"No","No","No","Average","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
673,689,682,"Junior",21,8,10,6,"Moderately fatigued","Moderate","No",4,"Neutral","Several times a week","Several times a month","Intermediate",4,"Yes","No","No","Good","Right hand","Yes","Very cautious","Mouse","Mid-Range","Laptop-Windows","Stable"
669,644,585,"Graduate student",24,6,5,8,"Moderately fatigued","Moderate","No",4,"Neutral","Rarely","Rarely","Beginner",2,"No","Yes","No","Excellent","Right hand","Yes","Very cautious","Mouse","Mid-Range","Laptop-macOS","Stable"
579,625,619,"Sophomore",21,6,7,6,"Moderately fatigued","Moderate","Yes",4,"Neutral","Once a week","Several times a week","Intermediate",3,"No","Yes","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Standard","Laptop-macOS","Stable"
642,583,613,"Junior",20,8,7,12,"Moderately fatigued","Moderate","No",4,"Neutral","Several times a month","Rarely","Beginner",3,"Yes","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
630,563,555,"Sophomore",20,8,8,5,"Slightly Fatigued","Low","No",4,"Neutral","Several times a month","Daily","Intermediate",15,"No","No","No","Good","Ambidextrous (both hands equally)","Yes","Slightly cautious","Trackpad","Standard","Laptop-macOS","Stable"
578,609,638,"Senior",22,8,10,5,"Slightly Fatigued","High","No",4,"Neutral","Never","Rarely","None",4,"No","Yes","No","Good","Right hand","Yes","Extremely cautious","Trackpad","High","Laptop-Windows","Stable"
492,468,417,"Sophomore",19,9,9,5,"Not fatigued at all","Low","No",4,"Neutral","Several times a month","Once a week","Beginner",8,"Yes","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Laptop-Windows","Stable"
648,732,620,"Junior",21,8,9,8,"Moderately fatigued","Moderate","No",4,"Warm","Several times a month","Rarely","None",1,"No","Yes","No","Good","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-Windows","Stable"
561,598,586,"Sophomore",20,7,9,3,"Moderately fatigued","Low","No",4,"Cold","Several times a week","Several times a week","Beginner",7,"Yes","No","No","Poor","Right hand","Yes","Very cautious","Trackpad","Mid-Range","Laptop-Windows","Stable"
691,623,613,"Graduate student",26,8,8,1,"Not fatigued at all","Moderate","No",5,"Neutral","Rarely","Rarely","Beginner",7,"No","No","No","Good","Right hand","Yes","Moderately cautious","Mouse","Standard","Desktopcomputer-Windows","Stable"
698,621,601,"Junior",20,8,8,15,"Moderately fatigued","Low","No",5,"Neutral","Daily","Several times a month","Intermediate",5,"Yes","No","No","Excellent","Right hand","Yes","Moderately cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
797,621,622,"Junior",20,6,8,9,"Slightly Fatigued","Very High","Yes",5,"Cold","Never","Never","Beginner",5,"No","No","No","Good","Right hand","Yes","Very cautious","Trackpad","Standard","Laptop-macOS","Stable"
641,521,501,"Junior",19,9,5,10,"Very fatigued","Moderate","No",5,"Neutral","Rarely","Rarely","Advanced",0,"No","No","No","Good","Right hand","Yes","Moderately cautious","Trackpad","High","Laptop-macOS","Stable"
567,486,558,"Junior",20,8,8,4,"Not fatigued at all","Very Low","No",5,"Neutral","Rarely","Several times a week","Beginner",6,"Yes","No","No","Good","Right hand","Yes","Extremely cautious","Trackpad","Mid-Range","Laptop-macOS","Stable"
